name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Claudio_Yacob,3,0,0,0,0,0,0,353,0,21750,0,3,0,0,3,0,0,0,0,0,36,0,0,1,0,2,2,67,0
Clinton_N'Jie,0,0,0,0,0,0,0,360,0,21712,0,0,0,0,20,0,0,0,0,0,36,0,0,0,0,0,1,4,0
Connor_Randall,0,0,0,0,0,0,0,357,0,21484,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,0,0,256,0
Connor_Roberts,0,0,0,0,0,0,0,359,0,21981,0,0,0,0,6,0,0,0,0,0,36,0,0,0,0,0,1,23,0
Connor_Wickham,0,0,0,0,0,0,0,358,0,21410,0,0,0,0,10,0,0,0,0,0,36,0,0,0,0,0,5,12,0
Costel_Pantilimon,0,0,0,0,0,0,0,356,0,21714,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,13,0
Craig_Cathcart,0,0,0,0,0,0,0,356,0,21716,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,10,0
Craig_Dawson,28,0,0,5,16,0,0,353,4,21741,0,90,0,0,3,0,0,0,3,0,36,0,0,0,0,2,2,2258,0
Craig_Gardner,0,0,0,0,0,0,0,353,0,21748,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,2,2,3,0
Cristhian_Stuani,0,0,0,0,0,0,0,354,0,21581,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,711,0
Cristian_Gamboa,0,0,0,0,0,0,0,353,0,21743,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,2,2,3,0
Cuco_Martina,0,0,0,0,0,0,0,357,0,21598,0,0,0,0,9,0,0,0,0,0,36,0,0,0,0,0,0,57,0
Cuco_Martina,0,0,0,0,0,0,0,257,0,21597,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,2,0,57,0
Curtis_Davies,0,0,0,0,0,0,0,355,0,21437,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,98,0
C�dric_Soares,36,0,0,2,20,0,0,357,0,21596,1,90,0,1,9,0,0,0,7,0,36,0,2,3,0,0,0,20980,1
C�dric_Soares,46,0,0,2,34,0,0,257,0,21595,3,90,0,4,1,0,0,0,7,0,36,0,1,0,0,2,0,20980,0
C�sar_Azpilicueta,94,0,0,1,87,0,0,354,1,21364,1,90,0,1,12,0,0,0,4,0,36,0,1,1,1,0,3,14094,0
Dael_Fry,0,0,0,0,0,0,0,354,0,21565,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,26,0
